Freq.	V(Gain2.62)	V(Gain5.24)	V(Gain10.48)	V(20.96)	V(-2.62)	V(-5.24)	V(-10.48)
1.00000000000000e+000	(2.61982784272054e+000dB,1.79840842227882e+002°)	(5.23932303651521e+000dB,1.79681010092245e+002°)	(1.04787247298109e+001dB,1.79347488895293e+002°)	(2.09559548971707e+001dB,1.78519388710962e+002°)	(-2.61986350306572e+000dB,-1.79840865650161e+002°)	(-5.23936124877806e+000dB,-1.79681067724929e+002°)	(-1.04787738954801e+001dB,-1.79347519314582e+002°)
1.02329299228075e+000	(2.61981239281565e+000dB,1.79837136629368e+002°)	(5.23929235009522e+000dB,1.79673583104248e+002°)	(1.04786603533390e+001dB,1.79332296906240e+002°)	(2.09557705362728e+001dB,1.78484927149891e+002°)	(-2.61984805321765e+000dB,-1.79837160597215e+002°)	(-5.23933056656133e+000dB,-1.79673642078944e+002°)	(-1.04787095201356e+001dB,-1.79332328033928e+002°)
1.04712854805090e+000	(2.61979621519884e+000dB,1.79833344835208e+002°)	(5.23926021827042e+000dB,1.79665983351210e+002°)	(1.04785929446619e+001dB,1.79316751546939e+002°)	(2.09555774958621e+001dB,1.78449664755792e+002°)	(-2.61983187566035e+000dB,-1.79833369361331e+002°)	(-5.23929843913779e+000dB,-1.79666043699148e+002°)	(-1.04786421126390e+001dB,-1.79316783399516e+002°)
1.07151930523761e+000	(2.61977927561458e+000dB,1.79829464846142e+002°)	(5.23922657299830e+000dB,1.79658206825479e+002°)	(1.04785223610463e+001dB,1.79300844621833e+002°)	(2.09553753677675e+001dB,1.78413583009124e+002°)	(-2.61981493613838e+000dB,-1.79829489943544e+002°)	(-5.23926479847424e+000dB,-1.79658268578613e+002°)	(-1.04785715302595e+001dB,-1.79300877216173e+002°)
1.09647819614318e+000	(2.61976153819680e+000dB,1.79825494616946e+002°)	(5.23919134303701e+000dB,1.79650249427235e+002°)	(1.04784484530484e+001dB,1.79284567747001e+002°)	(2.09551637246664e+001dB,1.78376662968547e+002°)	(-2.61979719878584e+000dB,-1.79825520298932e+002°)	(-5.23922957333859e+000dB,-1.79650312618261e+002°)	(-1.04784976235558e+001dB,-1.79284601100367e+002°)
1.12201845430196e+000	(2.61974296539342e+000dB,1.79821432055405e+002°)	(5.23915445379540e+000dB,1.79642106962429e+002°)	(1.04783710641994e+001dB,1.79267912345951e+002°)	(2.09549421191899e+001dB,1.78338885261783e+002°)	(-2.61977862605078e+000dB,-1.79821458335593e+002°)	(-5.23919268914991e+000dB,-1.79642171624802e+002°)	(-1.04784202360621e+001dB,-1.79267946476011e+002°)
1.14815362149688e+000	(2.61972351788727e+000dB,1.79817275021269e+002°)	(5.23911582717585e+000dB,1.79633775140676e+002°)	(1.04782900306762e+001dB,1.79250869645329e+002°)	(2.09547100829877e+001dB,1.78300230076309e+002°)	(-2.61975917861615e+000dB,-1.79817301913591e+002°)	(-5.23915406782129e+000dB,-1.79633841308629e+002°)	(-1.04783392039578e+001dB,-1.79250904570159e+002°)
1.17489755493953e+000	(2.61970315451336e+000dB,1.79813021325181e+002°)	(5.23907538140999e+000dB,1.79625249573114e+002°)	(1.04782051809563e+001dB,1.79233430670542e+002°)	(2.09544671257484e+001dB,1.78260677149879e+002°)	(-2.61973881531713e+000dB,-1.79813048843895e+002°)	(-5.23911362759555e+000dB,-1.79625317281673e+002°)	(-1.04782543557237e+001dB,-1.79233466408639e+002°)
1.20226443461741e+000	(2.61968183217227e+000dB,1.79808668727584e+002°)	(5.23903303088655e+000dB,1.79616525770206e+002°)	(1.04781163354576e+001dB,1.79215586241290e+002°)	(2.09542127341757e+001dB,1.78220205760895e+002°)	(-2.61971749305446e+000dB,-1.79808696887280e+002°)	(-5.23907128287315e+000dB,-1.79616595055211e+002°)	(-1.04781655117807e+001dB,-1.79215622811581e+002°)
1.23026877081238e+000	(2.61965950573957e+000dB,1.79804214937615e+002°)	(5.23898868597135e+000dB,1.79607599139513e+002°)	(1.04780233061601e+001dB,1.79197326967017e+002°)	(2.09539463709169e+001dB,1.78178794718598e+002°)	(-2.61969516670387e+000dB,-1.79804243753222e+002°)	(-5.23902694403220e+000dB,-1.79607670037634e+002°)	(-1.04780724841122e+001dB,-1.79197364388867e+002°)
