Freq.	V(Gain2.62)	V(Gain5.24)	V(Gain10.48)	V(20.96)	V(-2.62)	V(-5.24)	V(-10.48)
1.00000000000000e+000	(2.73403744013157e+000dB,1.79840723600431e+002°)	(5.43593904836352e+000dB,1.79631174119889e+002°)	(1.04211140848244e+001dB,1.79306951724843e+002°)	(2.05837868841213e+001dB,1.78555970710765e+002°)	(-2.73407317204391e+000dB,-1.79840747065394e+002°)	(-5.43597743515105e+000dB,-1.79631198940846e+002°)	(-1.04211630769150e+001dB,-1.79306981921724e+002°)
1.02329299228075e+000	(2.73402079746617e+000dB,1.79837015533933e+002°)	(5.43589815182194e+000dB,1.79622588051958e+002°)	(1.04210382365540e+001dB,1.79290817727494e+002°)	(2.05836085078362e+001dB,1.78522360127061e+002°)	(-2.73405652943732e+000dB,-1.79837039545458e+002°)	(-5.43593653888646e+000dB,-1.79622613451029e+002°)	(-1.04210872298031e+001dB,-1.79290848627576e+002°)
1.04712854805090e+000	(2.73400337099161e+000dB,1.79833221235397e+002°)	(5.43585532931022e+000dB,1.79613802345535e+002°)	(1.04209588162669e+001dB,1.79274308576606e+002°)	(2.05834217335833e+001dB,1.78487968451650e+002°)	(-2.73403910302434e+000dB,-1.79833245806214e+002°)	(-5.43589371666477e+000dB,-1.79613828336184e+002°)	(-1.04210078107292e+001dB,-1.79274340196255e+002°)
1.07151930523761e+000	(2.73398512381973e+000dB,1.79829338706221e+002°)	(5.43581049019753e+000dB,1.79604812375930e+002°)	(1.04208756558701e+001dB,1.79257415580572e+002°)	(2.05832261664119e+001dB,1.78452777619082e+002°)	(-2.73402085591694e+000dB,-1.79829363849357e+002°)	(-5.43584887785576e+000dB,-1.79604838971934e+002°)	(-1.04209246516027e+001dB,-1.79257447936536e+002°)
1.09647819614318e+000	(2.73396601732886e+000dB,1.79825365901961e+002°)	(5.43576353959495e+000dB,1.79595613412553e+002°)	(1.04207885793727e+001dB,1.79240129848674e+002°)	(2.05830213928382e+001dB,1.78416769152275e+002°)	(-2.73400174949359e+000dB,-1.79825391630747e+002°)	(-5.43580192757116e+000dB,-1.79595640628008e+002°)	(-1.04208375764354e+001dB,-1.79240162958089e+002°)
1.12201845430196e+000	(2.73394601108263e+000dB,1.79821300731320e+002°)	(5.43571437815613e+000dB,1.79586200616571e+002°)	(1.04206974025163e+001dB,1.79222442286688e+002°)	(2.05828069799796e+001dB,1.78379924153587e+002°)	(-2.73398174331804e+000dB,-1.79821327059397e+002°)	(-5.43575276646530e+000dB,-1.79586228465904e+002°)	(-1.04207464009717e+001dB,-1.79222476167090e+002°)
1.14815362149688e+000	(2.73392506274491e+000dB,1.79817141055106e+002°)	(5.43566290186859e+000dB,1.79576569038533e+002°)	(1.04206019323875e+001dB,1.79204343592398e+002°)	(2.05825824746488e+001dB,1.78342223295713e+002°)	(-2.73396079505434e+000dB,-1.79817167996431e+002°)	(-5.43570129052637e+000dB,-1.79576597536504e+002°)	(-1.04206509323011e+001dB,-1.79204378261728e+002°)
1.17489755493953e+000	(2.73390312799090e+000dB,1.79812884685177e+002°)	(5.43560900183529e+000dB,1.79566713615934e+002°)	(1.04205019670131e+001dB,1.79185824251022e+002°)	(2.05823474024061e+001dB,1.78303646812429e+002°)	(-2.73393886037785e+000dB,-1.79812912254035e+002°)	(-5.43564739085811e+000dB,-1.79566742777649e+002°)	(-1.04205509684535e+001dB,-1.79185859727638e+002°)
1.20226443461741e+000	(2.73388016041404e+000dB,1.79808529383364e+002°)	(5.43555256404620e+000dB,1.79556629170751e+002°)	(1.04203972949362e+001dB,1.79166874530556e+002°)	(2.05821012665682e+001dB,1.78264174489171e+002°)	(-2.73391589288214e+000dB,-1.79808557594371e+002°)	(-5.43559095345123e+000dB,-1.79556659011664e+002°)	(-1.04204462979753e+001dB,-1.79166910833245e+002°)
1.23026877081238e+000	(2.73385611142857e+000dB,1.79804072860372e+002°)	(5.43549346913909e+000dB,1.79546310406912e+002°)	(1.04202876947725e+001dB,1.79147484477032e+002°)	(2.05818435471710e+001dB,1.78223785653451e+002°)	(-2.73389184398166e+000dB,-1.79804101728485e+002°)	(-5.43553185894432e+000dB,-1.79546340942841e+002°)	(-1.04203366994855e+001dB,-1.79147521625014e+002°)
1.25892541179417e+000	(2.73383093016759e+000dB,1.79799512774661e+002°)	(5.43543159214938e+000dB,1.79535751907739e+002°)	(1.04201729347460e+001dB,1.79127643909678e+002°)	(2.05815736998843e+001dB,1.78182459165110e+002°)	(-2.73386666280965e+000dB,-1.79799542315185e+002°)	(-5.43546998237364e+000dB,-1.79535783154868e+002°)	(-1.04202219412117e+001dB,-1.79127681922621e+002°)
1.28824955169313e+000	(2.73380456337640e+000dB,1.79794846731307e+002°)	(5.43536680224825e+000dB,1.79524948133331e+002°)	(1.04200527722038e+001dB,1.79107342415998e+002°)	(2.05812911548773e+001dB,1.78140173406410e+002°)	(-2.73384029611162e+000dB,-1.79794876959903e+002°)	(-5.43540519291127e+000dB,-1.79524980108220e+002°)	(-1.04201017805047e+001dB,-1.79107381314026e+002°)
1.31825673855641e+000	(2.73377695530086e+000dB,1.79790072280838e+002°)	(5.43529896246876e+000dB,1.79513893417902e+002°)	(1.04199269531073e+001dB,1.79086569346762e+002°)	(2.05809953156312e+001dB,1.78096906271967e+002°)	(-2.73381268813364e+000dB,-1.79790103213532e+002°)	(-5.43533735359118e+000dB,-1.79513926137497e+002°)	(-1.04199759633297e+001dB,-1.79086609150467e+002°)
1.34896288259165e+000	(2.73374804757062e+000dB,1.79785186918056e+002°)	(5.43522792941919e+000dB,1.79502581967076e+002°)	(1.04197952115009e+001dB,1.79065313810903e+002°)	(2.05806855576978e+001dB,1.78052635158520e+002°)	(-2.73378378050554e+000dB,-1.79785218571248e+002°)	(-5.43526632102262e+000dB,-1.79502615448717e+002°)	(-1.04198442237352e+001dB,-1.79065354541354e+002°)
1.38038426460288e+000	(2.73371777907690e+000dB,1.79780188080830e+002°)	(5.43515355298315e+000dB,1.79491007855132e+002°)	(1.04196572689555e+001dB,1.79043564670329e+002°)	(2.05803612274005e+001dB,1.78007336954545e+002°)	(-2.73375351211876e+000dB,-1.79780220471302e+002°)	(-5.43519194509023e+000dB,-1.79491042116564e+002°)	(-1.04197062832963e+001dB,-1.79043606349083e+002°)
1.41253754462275e+000	(2.73368608584461e+000dB,1.79775073148874e+002°)	(5.43507567600592e+000dB,1.79479165022205e+002°)	(1.04195128339864e+001dB,1.79021310534639e+002°)	(2.05800216404762e+001dB,1.77960988029715e+002°)	(-2.73372181899846e+000dB,-1.79775106293797e+002°)	(-5.43511406864033e+000dB,-1.79479200081584e+002°)	(-1.04195618505328e+001dB,-1.79021353183756e+002°)
1.44543977074593e+000	(2.73365290089865e+000dB,1.79769839442499e+002°)	(5.43499413396614e+000dB,1.79467047271433e+002°)	(1.04193616014446e+001dB,1.78998539755760e+002°)	(2.05796660806555e+001dB,1.77913564224197e+002°)	(-2.73368863416975e+000dB,-1.79769873359445e+002°)	(-5.43503252715270e+000dB,-1.79467083147338e+002°)	(-1.04194106203003e+001dB,-1.78998583397808e+002°)
1.47910838816821e+000	(2.73361815412389e+000dB,1.79764484221344e+002°)	(5.43490875463257e+000dB,1.79454648266065e+002°)	(1.04192032518799e+001dB,1.78975240422484e+002°)	(2.05792937981767e+001dB,1.77865040837810e+002°)	(-2.73365388751776e+000dB,-1.79764518928294e+002°)	(-5.43494714839725e+000dB,-1.79454684977509e+002°)	(-1.04192522731535e+001dB,-1.78975285080557e+002°)
1.51356124843621e+000	(2.73358177211885e+000dB,1.79759004683092e+002°)	(5.43481935770490e+000dB,1.79441961526521e+002°)	(1.04190374508742e+001dB,1.78951400354923e+002°)	(2.05789040082335e+001dB,1.77815392619024e+002°)	(-2.73361750564126e+000dB,-1.79759040198447e+002°)	(-5.43485775207488e+000dB,-1.79441999092956e+002°)	(-1.04190864746795e+001dB,-1.78951446052648e+002°)
1.54881661891248e+000	(2.73354367804245e+000dB,1.79753397962157e+002°)	(5.43472575443804e+000dB,1.79428980427400e+002°)	(1.04188638483450e+001dB,1.78927007098875e+002°)	(2.05784958893508e+001dB,1.77764593753826e+002°)	(-2.73357941169945e+000dB,-1.79753434304744e+002°)	(-5.43476414944179e+000dB,-1.79429018868733e+002°)	(-1.04189128748008e+001dB,-1.78927053860429e+002°)
1.58489319246111e+000	(2.73350379145391e+000dB,1.79747661128351e+002°)	(5.43462774724928e+000dB,1.79415698194453e+002°)	(1.04186820778158e+001dB,1.78902047920101e+002°)	(2.05780685816872e+001dB,1.77712617854435e+002°)	(-2.73353952525183e+000dB,-1.79747698317439e+002°)	(-5.43466614291660e+000dB,-1.79415737531052e+002°)	(-1.04187311070470e+001dB,-1.78902095770222e+002°)
1.62181009735893e+000	(2.73346202814513e+000dB,1.79741791185538e+002°)	(5.43452512930721e+000dB,1.79402107901497e+002°)	(1.04184917556544e+001dB,1.78876509798523e+002°)	(2.05776211852607e+001dB,1.77659437947894e+002°)	(-2.73349776209060e+000dB,-1.79741829240840e+002°)	(-5.43456352566930e+000dB,-1.79402148154207e+002°)	(-1.04185407877912e+001dB,-1.78876558762518e+002°)
1.65958690743756e+000	(2.73341829996544e+000dB,1.79735785070255e+002°)	(5.43441768410202e+000dB,1.79388202467303e+002°)	(1.04182924802747e+001dB,1.78850379422321e+002°)	(2.05771527580931e+001dB,1.77605026464528e+002°)	(-2.73345403406539e+000dB,-1.79735824011947e+002°)	(-5.43445608119154e+000dB,-1.79388243657450e+002°)	(-1.04183415154537e+001dB,-1.78850429526088e+002°)
1.69824365246174e+000	(2.73337251463829e+000dB,1.79729639650324e+002°)	(5.43430518499595e+000dB,1.79373974652422e+002°)	(1.04180838313030e+001dB,1.78823643181972e+002°)	(2.05766623142711e+001dB,1.77549355226279e+002°)	(-2.73340824890000e+000dB,-1.79729679499051e+002°)	(-5.43434358284708e+000dB,-1.79374016801830e+002°)	(-1.04181328696672e+001dB,-1.78823694452004e+002°)
1.73780082874937e+000	(2.73332457556954e+000dB,1.79723351723437e+002°)	(5.43418739475330e+000dB,1.79359417055983e+002°)	(1.04178653687060e+001dB,1.78796287164181e+002°)	(2.05761488219200e+001dB,1.77492395434931e+002°)	(-2.73336031000062e+000dB,-1.79723392500324e+002°)	(-5.43422579340185e+000dB,-1.79359460186983e+002°)	(-1.04179144104051e+001dB,-1.78796339627588e+002°)
1.77827941003892e+000	(2.73327438164703e+000dB,1.79716918015725e+002°)	(5.43406406504895e+000dB,1.79344522112441e+002°)	(1.04176366318789e+001dB,1.78768297145755e+002°)	(2.05756112010854e+001dB,1.77434117660227e+002°)	(-2.73331011625543e+000dB,-1.79716959742387e+002°)	(-5.43410246453240e+000dB,-1.79344566247884e+002°)	(-1.04176856770695e+001dB,-1.78768350830273e+002°)
1.81970085860998e+000	(2.73322182703090e+000dB,1.79710335180302e+002°)	(5.43393493595451e+000dB,1.79329282088295e+002°)	(1.04173971386916e+001dB,1.78739658587388e+002°)	(2.05750483215206e+001dB,1.77374491827887e+002°)	(-2.73325756182495e+000dB,-1.79710377878861e+002°)	(-5.43397333631209e+000dB,-1.79329327251563e+002°)	(-1.04174461875377e+001dB,-1.78739713521395e+002°)
1.86208713666287e+000	(2.73316680093440e+000dB,1.79703599795800e+002°)	(5.43379973540104e+000dB,1.79313689078756e+002°)	(1.04171463844920e+001dB,1.78710356627374e+002°)	(2.05744590003740e+001dB,1.77313487207546e+002°)	(-2.73320253592283e+000dB,-1.79703643488891e+002°)	(-5.43383813667381e+000dB,-1.79313735293773e+002°)	(-1.04171954371653e+001dB,-1.78710412839904e+002°)
1.90546071796325e+000	(2.73310918739472e+000dB,1.79696708364881e+002°)	(5.43365817861744e+000dB,1.79297735004387e+002°)	(1.04168838410638e+001dB,1.78680376075258e+002°)	(2.05738419997732e+001dB,1.77251072400611e+002°)	(-2.73314492258668e+000dB,-1.79696753075666e+002°)	(-5.43369658084839e+000dB,-1.79297782295636e+002°)	(-1.04169328977440e+001dB,-1.78680433596016e+002°)
1.94984459975804e+000	(2.73304886503341e+000dB,1.79689657312724e+002°)	(5.43350996754330e+000dB,1.79281411607713e+002°)	(1.04166089555369e+001dB,1.78649701405408e+002°)	(2.05731960243019e+001dB,1.77187215328054e+002°)	(-2.73308460043846e+000dB,-1.79689703064906e+002°)	(-5.43354837077743e+000dB,-1.79281460000243e+002°)	(-1.04166580164121e+001dB,-1.78649760264786e+002°)
1.99526231496888e+000	(2.73298570680585e+000dB,1.79682442985514e+002°)	(5.43335479021526e+000dB,1.79264710449785e+002°)	(1.04163211492485e+001dB,1.78618316750533e+002°)	(2.05725197183636e+001dB,1.77121883218167e+002°)	(-2.73302144243400e+000dB,-1.79682489803346e+002°)	(-5.43339319449968e+000dB,-1.79264759969230e+002°)	(-1.04163702145158e+001dB,-1.78618376979625e+002°)
2.04173794466953e+000	(2.73291957973948e+000dB,1.79675061648897e+002°)	(5.43319232012563e+000dB,1.79247622906731e+002°)	(1.04160198165533e+001dB,1.78586205895144e+002°)	(2.05718116634289e+001dB,1.77055042594268e+002°)	(-2.73295531560121e+000dB,-1.79675109557196e+002°)	(-5.43323072550965e+000dB,-1.79247673579318e+002°)	(-1.04160688864186e+001dB,-1.78586267525763e+002°)
2.08929613085404e+000	(2.73285034466009e+000dB,1.79667509486429e+002°)	(5.43302221555207e+000dB,1.79230140166269e+002°)	(1.04157043235789e+001dB,1.78553352268955e+002°)	(2.05710703751609e+001dB,1.76986659262402e+002°)	(-2.73288608076638e+000dB,-1.79667558510592e+002°)	(-5.43306062208731e+000dB,-1.79230192018837e+002°)	(-1.04157533982579e+001dB,-1.78553415333647e+002°)
2.13796208950223e+000	(2.73277785590583e+000dB,1.79659782598016e+002°)	(5.43284411885718e+000dB,1.79212253224204e+002°)	(1.04153740069260e+001dB,1.78519738940245e+002°)	(2.05702943004139e+001dB,1.76916698299036e+002°)	(-2.73281359226815e+000dB,-1.79659832764029e+002°)	(-5.43288252659768e+000dB,-1.79212306284213e+002°)	(-1.04154230866447e+001dB,-1.78519803472308e+002°)
2.18776162394955e+000	(2.73270196102827e+000dB,1.79651876998330e+002°)	(5.43265765575668e+000dB,1.79193952880901e+002°)	(1.04150281723107e+001dB,1.78485348609173e+002°)	(2.05694818140999e+001dB,1.76845124038780e+002°)	(-2.73273769765866e+000dB,-1.79651928332787e+002°)	(-5.43269606475898e+000dB,-1.79194007176451e+002°)	(-1.04150772573054e+001dB,-1.78485414642672e+002°)
2.23872113856834e+000	(2.73262250048016e+000dB,1.79643788615227e+002°)	(5.43246243455476e+000dB,1.79175229737746e+002°)	(1.04146660931445e+001dB,1.78450163601066e+002°)	(2.05686312159177e+001dB,1.76771900062144e+002°)	(-2.73265823739119e+000dB,-1.79643841145338e+002°)	(-5.43250084487807e+000dB,-1.79175285297588e+002°)	(-1.04147151836625e+001dB,-1.78450231170854e+002°)
