%	Date:	2016-12-09	Time:	15:21:21
%	Sampling frequency		[Hz]:	50000
%	Generator amplitude		[V]:	1.0000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[dB]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
1.0000E+1	1.0298E+1	-6.6021E+0	-9.4843E+1	-1.0676E+2	-9.5661E+1	-1.2257E+2	-1.0460E+2
1.0723E+1	1.0277E+1	-7.0583E+0	-9.5258E+1	-1.0873E+2	-9.5679E+1	-1.2895E+2	-1.0853E+2
1.1498E+1	1.0252E+1	-7.5411E+0	-9.5115E+1	-1.0913E+2	-9.5470E+1	-1.2514E+2	-1.0934E+2
1.2328E+1	1.0224E+1	-8.0512E+0	-9.5646E+1	-1.1092E+2	-9.6178E+1	-1.1278E+2	-1.0743E+2
1.3219E+1	1.0192E+1	-8.5891E+0	-9.5932E+1	-1.1255E+2	-9.6192E+1	-1.2371E+2	-1.1053E+2
1.4175E+1	1.0155E+1	-9.1549E+0	-9.5434E+1	-1.0817E+2	-9.5981E+1	-1.2497E+2	-1.0737E+2
1.5199E+1	1.0114E+1	-9.7490E+0	-9.5187E+1	-1.0818E+2	-9.5647E+1	-1.3443E+2	-1.0818E+2
1.6298E+1	1.0068E+1	-1.0371E+1	-9.5365E+1	-1.0653E+2	-9.5874E+1	-1.2520E+2	-1.1016E+2
1.7475E+1	1.0016E+1	-1.1019E+1	-9.4235E+1	-1.0624E+2	-9.4634E+1	-1.1770E+2	-1.1116E+2
1.8738E+1	9.9573E+0	-1.1693E+1	-9.6141E+1	-1.0656E+2	-9.6817E+1	-1.2027E+2	-1.0920E+2
2.0092E+1	9.8919E+0	-1.2391E+1	-9.5337E+1	-1.0714E+2	-9.5792E+1	-1.2575E+2	-1.1024E+2
