%	Date:	2016-12-09	Time:	15:15:09
%	Sampling frequency		[Hz]:	50000
%	Generator amplitude		[V]:	1.0000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[dB]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
1.0000E+1	2.6933E+0	-1.4768E+0	-9.4618E+1	-1.1195E+2	-9.4811E+1	-1.1450E+2	-1.1289E+2
1.0723E+1	2.6889E+0	-1.5848E+0	-9.2985E+1	-1.0540E+2	-9.3474E+1	-1.2041E+2	-1.0622E+2
1.1498E+1	2.6839E+0	-1.6989E+0	-9.4339E+1	-1.0450E+2	-9.5308E+1	-1.1255E+2	-1.0487E+2
1.2328E+1	2.6780E+0	-1.8192E+0	-9.3780E+1	-1.0682E+2	-9.4158E+1	-1.1328E+2	-1.1027E+2
1.3219E+1	2.6712E+0	-1.9464E+0	-9.3401E+1	-1.0492E+2	-9.4019E+1	-1.0745E+2	-1.0984E+2
1.4175E+1	2.6636E+0	-2.0803E+0	-9.4463E+1	-1.0191E+2	-9.5741E+1	-1.1381E+2	-1.0644E+2
1.5199E+1	2.6548E+0	-2.2207E+0	-9.5062E+1	-1.0708E+2	-9.5876E+1	-1.0817E+2	-1.0733E+2
1.6298E+1	2.6449E+0	-2.3681E+0	-9.3319E+1	-1.0393E+2	-9.3882E+1	-1.2533E+2	-1.0798E+2
1.7475E+1	2.6337E+0	-2.5222E+0	-9.3864E+1	-1.0235E+2	-9.4751E+1	-1.1346E+2	-1.0880E+2
1.8738E+1	2.6211E+0	-2.6826E+0	-9.3773E+1	-1.0320E+2	-9.4716E+1	-1.0964E+2	-1.0636E+2
2.0092E+1	2.6069E+0	-2.8492E+0	-9.2536E+1	-1.0640E+2	-9.3093E+1	-1.1127E+2	-1.0434E+2
2.1544E+1	2.5911E+0	-3.0214E+0	-9.5095E+1	-1.0429E+2	-9.5903E+1	-1.1988E+2	-1.0847E+2
2.3101E+1	2.5735E+0	-3.1988E+0	-9.2903E+1	-1.0407E+2	-9.3886E+1	-1.0469E+2	-1.0515E+2
2.4771E+1	2.5540E+0	-3.3807E+0	-9.3699E+1	-1.0069E+2	-9.5286E+1	-1.1411E+2	-1.0383E+2
2.6561E+1	2.5324E+0	-3.5659E+0	-9.3533E+1	-1.0682E+2	-9.4223E+1	-1.0649E+2	-1.0661E+2
2.8480E+1	2.5086E+0	-3.7538E+0	-9.3278E+1	-1.0503E+2	-9.3758E+1	-1.1168E+2	-1.0964E+2
