%	Date:	2016-12-09	Time:	15:22:21
%	Sampling frequency		[Hz]:	50000
%	Generator amplitude		[V]:	1.0000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[dB]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
1.0000E+1	-1.0248E+1	6.8099E+0	-9.1642E+1	-9.7749E+1	-9.5660E+1	-1.0289E+2	-9.7118E+1
1.0723E+1	-1.0225E+1	7.2662E+0	-8.6674E+1	-9.3675E+1	-8.8422E+1	-9.8245E+1	-9.8730E+1
1.1498E+1	-1.0199E+1	7.7510E+0	-9.1351E+1	-9.5004E+1	-9.4522E+1	-1.1325E+2	-1.0230E+2
1.2328E+1	-1.0170E+1	8.2617E+0	-8.9106E+1	-9.2244E+1	-9.4651E+1	-1.0236E+2	-9.6361E+1
1.3219E+1	-1.0137E+1	8.8013E+0	-9.6077E+1	-1.0838E+2	-9.7767E+1	-1.1724E+2	-1.0200E+2
1.4175E+1	-1.0099E+1	9.3695E+0	-8.9111E+1	-9.2749E+1	-9.4099E+1	-9.6359E+1	-1.0121E+2
1.5199E+1	-1.0056E+1	9.9658E+0	-8.8956E+1	-9.6522E+1	-9.2975E+1	-1.0700E+2	-9.2800E+1
1.6298E+1	-1.0009E+1	1.0590E+1	-9.0285E+1	-1.0213E+2	-9.1933E+1	-1.0469E+2	-9.6981E+1
1.7475E+1	-9.9550E+0	1.1242E+1	-8.7888E+1	-1.0207E+2	-8.8086E+1	-1.1138E+2	-1.1480E+2
1.8738E+1	-9.8947E+0	1.1920E+1	-9.0310E+1	-9.3510E+1	-9.5453E+1	-9.7908E+1	-1.0412E+2
2.0092E+1	-9.8276E+0	1.2620E+1	-8.9292E+1	-1.0282E+2	-9.0435E+1	-9.9053E+1	-1.0018E+2
2.1544E+1	-9.7530E+0	1.3344E+1	-8.8957E+1	-9.3444E+1	-9.2360E+1	-1.0127E+2	-9.7866E+1
2.3101E+1	-9.6703E+0	1.4084E+1	-8.7531E+1	-9.4220E+1	-9.0713E+1	-1.0221E+2	-9.3202E+1
2.4771E+1	-9.5786E+0	1.4838E+1	-8.8059E+1	-9.8654E+1	-9.0657E+1	-9.9197E+1	-9.3494E+1
2.6561E+1	-9.4780E+0	1.5603E+1	-8.7130E+1	-9.5424E+1	-8.8732E+1	-9.5510E+1	-1.0534E+2
2.8480E+1	-9.3680E+0	1.6373E+1	-8.5782E+1	-9.1245E+1	-8.7389E+1	-1.0280E+2	-1.0864E+2
3.0539E+1	-9.2483E+0	1.7142E+1	-8.8561E+1	-9.8098E+1	-9.0827E+1	-9.7989E+1	-9.5979E+1
3.2745E+1	-9.1190E+0	1.7904E+1	-8.8172E+1	-9.2127E+1	-9.1733E+1	-9.9182E+1	-9.9246E+1
3.5112E+1	-8.9800E+0	1.8653E+1	-9.0401E+1	-9.7634E+1	-9.1914E+1	-1.1022E+2	-1.0064E+2
3.7649E+1	-8.8313E+0	1.9382E+1	-9.1325E+1	-1.0314E+2	-9.2923E+1	-9.8168E+1	-1.0584E+2
4.0370E+1	-8.6734E+0	2.0087E+1	-8.8739E+1	-1.0217E+2	-8.9559E+1	-1.0848E+2	-9.8094E+1
4.3288E+1	-8.5067E+0	2.0761E+1	-8.8147E+1	-9.7682E+1	-8.8972E+1	-1.0244E+2	-1.0425E+2
4.6416E+1	-8.3322E+0	2.1397E+1	-9.0976E+1	-9.6735E+1	-9.4335E+1	-9.7850E+1	-1.0266E+2
4.9770E+1	-8.1501E+0	2.1993E+1	-8.9177E+1	-9.8711E+1	-9.0942E+1	-9.6740E+1	-1.0242E+2
5.3367E+1	-7.9616E+0	2.2544E+1	-8.6976E+1	-9.8907E+1	-8.8458E+1	-9.4165E+1	-1.0167E+2
5.7224E+1	-7.7673E+0	2.3047E+1	-9.0090E+1	-1.0288E+2	-9.2788E+1	-9.6853E+1	-9.7093E+1
6.1359E+1	-7.5687E+0	2.3501E+1	-8.9256E+1	-9.3676E+1	-9.3194E+1	-9.7468E+1	-1.0002E+2
6.5793E+1	-7.3665E+0	2.3910E+1	-8.8261E+1	-9.4290E+1	-9.0701E+1	-9.7214E+1	-1.0103E+2
7.0548E+1	-7.1613E+0	2.4269E+1	-8.5670E+1	-9.1787E+1	-8.8518E+1	-9.2917E+1	-9.8859E+1
7.5646E+1	-6.9536E+0	2.4582E+1	-8.9766E+1	-9.2611E+1	-9.3601E+1	-1.0542E+2	-1.0376E+2
8.1113E+1	-6.7449E+0	2.4851E+1	-8.6715E+1	-9.6900E+1	-8.7448E+1	-1.0255E+2	-1.0147E+2
8.6975E+1	-6.5347E+0	2.5079E+1	-8.5933E+1	-9.3354E+1	-8.8235E+1	-9.9567E+1	-9.3212E+1
9.3260E+1	-6.3241E+0	2.5266E+1	-8.5053E+1	-8.9636E+1	-8.8184E+1	-1.0163E+2	-9.3481E+1
1.0000E+2	-6.1128E+0	2.5418E+1	-9.1737E+1	-9.7084E+1	-9.5399E+1	-1.0077E+2	-9.9900E+1
1.0723E+2	-5.9013E+0	2.5534E+1	-8.4524E+1	-8.6505E+1	-8.9433E+1	-1.0318E+2	-9.9812E+1
1.1498E+2	-5.6897E+0	2.5615E+1	-8.7309E+1	-1.0133E+2	-8.8551E+1	-1.0515E+2	-9.4459E+1
1.2328E+2	-5.4777E+0	2.5664E+1	-8.4255E+1	-8.8516E+1	-8.7414E+1	-9.6389E+1	-9.5185E+1
1.3219E+2	-5.2653E+0	2.5681E+1	-8.8581E+1	-1.0028E+2	-8.9043E+1	-1.0985E+2	-1.0444E+2
1.4175E+2	-5.0529E+0	2.5661E+1	-9.1330E+1	-9.6141E+1	-9.8428E+1	-9.5217E+1	-1.0313E+2
1.5199E+2	-4.8408E+0	2.5609E+1	-8.6922E+1	-9.1761E+1	-9.0838E+1	-1.0041E+2	-9.3475E+1
1.6298E+2	-4.6287E+0	2.5520E+1	-8.4575E+1	-9.3539E+1	-8.5740E+1	-9.6404E+1	-9.8264E+1
1.7475E+2	-4.4174E+0	2.5394E+1	-8.6119E+1	-8.8535E+1	-9.1385E+1	-9.5335E+1	-1.0638E+2
1.8738E+2	-4.2065E+0	2.5231E+1	-8.6813E+1	-9.0457E+1	-9.1197E+1	-9.6161E+1	-9.7407E+1
2.0092E+2	-3.9969E+0	2.5026E+1	-8.6167E+1	-9.2223E+1	-8.9747E+1	-9.4159E+1	-9.4273E+1
2.1544E+2	-3.7891E+0	2.4784E+1	-8.8824E+1	-9.9744E+1	-9.1039E+1	-9.8193E+1	-9.5752E+1
2.3101E+2	-3.5833E+0	2.4499E+1	-8.3319E+1	-8.5255E+1	-9.0546E+1	-9.3043E+1	-9.5273E+1
2.4771E+2	-3.3800E+0	2.4175E+1	-8.8838E+1	-1.0464E+2	-9.0200E+1	-1.0744E+2	-9.5238E+1
2.6561E+2	-3.1804E+0	2.3811E+1	-8.7882E+1	-9.0752E+1	-9.3908E+1	-9.5220E+1	-1.0096E+2
2.8480E+2	-2.9841E+0	2.3409E+1	-8.6316E+1	-1.0081E+2	-8.6896E+1	-1.1866E+2	-9.6830E+1
3.0539E+2	-2.7921E+0	2.2970E+1	-8.5410E+1	-8.9100E+1	-8.9371E+1	-9.5059E+1	-9.7468E+1
3.2745E+2	-2.6046E+0	2.2491E+1	-8.9389E+1	-9.9050E+1	-9.1375E+1	-9.7513E+1	-9.9180E+1
3.5112E+2	-2.4222E+0	2.1979E+1	-8.9728E+1	-9.1905E+1	-9.6913E+1	-9.7990E+1	-1.0243E+2
3.7649E+2	-2.2457E+0	2.1435E+1	-8.8051E+1	-9.7942E+1	-8.9913E+1	-1.0110E+2	-9.5114E+1
4.0370E+2	-2.0750E+0	2.0857E+1	-8.8299E+1	-9.8454E+1	-8.9551E+1	-9.7175E+1	-1.0442E+2
4.3288E+2	-1.9106E+0	2.0251E+1	-8.8549E+1	-9.1499E+1	-9.2951E+1	-9.9206E+1	-1.0209E+2
4.6416E+2	-1.7531E+0	1.9619E+1	-8.7489E+1	-9.0908E+1	-9.1470E+1	-1.0752E+2	-9.6180E+1
4.9770E+2	-1.6031E+0	1.8962E+1	-8.9928E+1	-9.9793E+1	-9.1541E+1	-9.7099E+1	-1.0811E+2
