%	Date:	2016-12-09	Time:	15:18:18
%	Sampling frequency		[Hz]:	50000
%	Generator amplitude		[V]:	1.0000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[dB]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
1.0000E+1	-2.6831E+0	1.5895E+0	-9.1758E+1	-1.0632E+2	-9.2061E+1	-1.0852E+2	-1.1116E+2
1.0723E+1	-2.6779E+0	1.6924E+0	-9.0242E+1	-1.0040E+2	-9.1099E+1	-1.0535E+2	-1.0309E+2
1.1498E+1	-2.6721E+0	1.8005E+0	-9.1480E+1	-9.7955E+1	-9.3013E+1	-1.0452E+2	-1.0791E+2
1.2328E+1	-2.6655E+0	1.9154E+0	-9.5206E+1	-1.0506E+2	-9.7562E+1	-1.0273E+2	-1.0379E+2
1.3219E+1	-2.6581E+0	2.0381E+0	-9.3077E+1	-1.0298E+2	-9.4525E+1	-1.0192E+2	-1.0603E+2
1.4175E+1	-2.6499E+0	2.1662E+0	-9.4642E+1	-1.0579E+2	-9.6836E+1	-1.0519E+2	-1.0099E+2
1.5199E+1	-2.6406E+0	2.3027E+0	-9.2278E+1	-1.0115E+2	-9.3331E+1	-1.1613E+2	-1.0317E+2
1.6298E+1	-2.6301E+0	2.4448E+0	-9.2804E+1	-9.9654E+1	-9.4008E+1	-1.1258E+2	-1.0883E+2
1.7475E+1	-2.6183E+0	2.5939E+0	-9.4331E+1	-1.0180E+2	-9.5850E+1	-1.1733E+2	-1.0388E+2
1.8738E+1	-2.6052E+0	2.7495E+0	-9.3976E+1	-1.1174E+2	-9.4773E+1	-1.0594E+2	-1.0458E+2
2.0092E+1	-2.5905E+0	2.9109E+0	-9.4128E+1	-9.7190E+1	-1.0032E+2	-1.0301E+2	-1.0277E+2
2.1544E+1	-2.5741E+0	3.0780E+0	-9.8664E+1	-1.1974E+2	-1.0033E+2	-1.1021E+2	-1.0484E+2
2.3101E+1	-2.5560E+0	3.2504E+0	-9.5709E+1	-1.0471E+2	-9.7914E+1	-1.0762E+2	-1.0253E+2
2.4771E+1	-2.5360E+0	3.4265E+0	-9.4888E+1	-1.0140E+2	-9.6443E+1	-1.0940E+2	-1.0860E+2
2.6561E+1	-2.5140E+0	3.6062E+0	-9.5602E+1	-1.0654E+2	-9.7742E+1	-1.0304E+2	-1.0453E+2
2.8480E+1	-2.4898E+0	3.7883E+0	-9.0657E+1	-1.0293E+2	-9.1330E+1	-1.0175E+2	-1.1261E+2
3.0539E+1	-2.4634E+0	3.9711E+0	-9.1865E+1	-1.0209E+2	-9.3315E+1	-1.1054E+2	-9.9424E+1
3.2745E+1	-2.4350E+0	4.1534E+0	-9.2420E+1	-9.7312E+1	-9.5072E+1	-1.0377E+2	-1.0468E+2
3.5112E+1	-2.4042E+0	4.3347E+0	-9.0686E+1	-1.0379E+2	-9.2085E+1	-9.9011E+1	-1.0169E+2
3.7649E+1	-2.3714E+0	4.5132E+0	-8.8685E+1	-1.0165E+2	-8.9912E+1	-1.0379E+2	-9.6518E+1
4.0370E+1	-2.3364E+0	4.6869E+0	-8.8197E+1	-9.3332E+1	-9.0373E+1	-1.0573E+2	-9.9756E+1
4.3288E+1	-2.2994E+0	4.8551E+0	-8.7894E+1	-1.0488E+2	-8.8331E+1	-1.0803E+2	-9.9698E+1
4.6416E+1	-2.2605E+0	5.0173E+0	-8.6599E+1	-9.6987E+1	-8.7354E+1	-9.9935E+1	-1.0320E+2
4.9770E+1	-2.2199E+0	5.1726E+0	-8.5714E+1	-1.0323E+2	-8.6090E+1	-1.1159E+2	-9.7749E+1
