%	Date:	2016-12-19	Time:	16:46:01
%	Sampling frequency		[Hz]:	50000
%	Generator amplitude		[V]:	1.0000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
1.0000E+1	-7.4476E+1	5.6295E+1	5.2647E+0	-3.1279E+1	-3.6943E+1	-3.4891E+1	-2.8238E+1
1.0798E+1	-7.3942E+1	5.1345E+1	2.5845E+0	-3.7704E+1	-3.8796E+1	-4.3842E+1	-3.4880E+1
1.1660E+1	-7.3522E+1	5.0536E+1	3.3647E+0	-3.5462E+1	-3.3119E+1	-3.4676E+1	-4.7131E+1
1.2590E+1	-7.3049E+1	4.7559E+1	4.7559E+0	-3.5594E+1	-3.1673E+1	-2.9224E+1	-3.9584E+1
1.3595E+1	-7.2863E+1	4.5722E+1	2.4481E+0	-3.5722E+1	-3.9775E+1	-3.7679E+1	-4.2552E+1
1.4680E+1	-7.2559E+1	4.1949E+1	2.8715E+0	-3.5324E+1	-3.3882E+1	-3.9728E+1	-4.8089E+1
1.5851E+1	-7.2214E+1	4.0955E+1	3.0856E+0	-5.1809E+1	-3.6034E+1	-3.8744E+1	-3.2497E+1
1.7116E+1	-7.2249E+1	3.7966E+1	3.1483E+0	-4.0190E+1	-3.1071E+1	-4.3069E+1	-4.1893E+1
1.8482E+1	-7.2042E+1	3.5993E+1	2.4839E+0	-3.5142E+1	-3.9491E+1	-4.5965E+1	-3.7614E+1
1.9957E+1	-7.1563E+1	3.4669E+1	2.5510E+0	-3.6932E+1	-5.7322E+1	-3.3818E+1	-4.5074E+1
2.1550E+1	-7.1462E+1	3.3486E+1	2.0201E+0	-3.7362E+1	-4.1930E+1	-3.8568E+1	-4.6704E+1
2.3269E+1	-7.1238E+1	3.1627E+1	3.5270E+0	-2.9692E+1	-4.1717E+1	-4.0737E+1	-4.7280E+1
2.5126E+1	-7.0987E+1	2.8956E+1	2.3414E+0	-3.3587E+1	-4.3213E+1	-4.2417E+1	-5.2741E+1
