%	Date:	2016-12-19	Time:	16:27:38
%	Sampling frequency		[Hz]:	50000
%	Generator amplitude		[V]:	1.0000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
1.0000E+1	-1.0365E+1	3.2032E+1	2.0825E-1	-5.6611E+1	-9.2959E+1	-5.6673E+1	-8.5330E+1
1.0798E+1	-1.0210E+1	3.0065E+1	1.4746E-1	-5.6635E+1	-8.7680E+1	-8.5838E+1	-1.0301E+2
1.1660E+1	-1.0072E+1	2.8185E+1	1.4945E-1	-5.6863E+1	-7.0374E+1	-9.0149E+1	-7.0894E+1
1.2590E+1	-9.9467E+0	2.6394E+1	2.3850E-1	-5.7008E+1	-5.7451E+1	-8.7344E+1	-5.7221E+1
1.3595E+1	-9.8351E+0	2.4691E+1	1.4160E-1	-5.7084E+1	-7.6398E+1	-9.9022E+1	-7.6046E+1
1.4680E+1	-9.7347E+0	2.3073E+1	1.4115E-1	-5.7007E+1	-9.6764E+1	-1.0041E+2	-1.0530E+2
1.5851E+1	-9.6452E+0	2.1541E+1	1.2507E-1	-6.1249E+1	-8.3926E+1	-6.0914E+1	-9.9621E+1
1.7116E+1	-9.5660E+0	2.0089E+1	1.5665E-1	-5.9927E+1	-8.3198E+1	-5.8441E+1	-1.0353E+2
1.8482E+1	-9.4953E+0	1.8717E+1	1.5079E-1	-5.6547E+1	-9.4640E+1	-7.2334E+1	-9.5087E+1
1.9957E+1	-9.4327E+0	1.7421E+1	1.3388E-1	-5.7478E+1	-8.5143E+1	-8.8289E+1	-9.3783E+1
2.1550E+1	-9.3760E+0	1.6208E+1	1.3422E-1	-5.7497E+1	-7.6574E+1	-9.8813E+1	-1.1013E+2
2.3269E+1	-9.3240E+0	1.5091E+1	1.5902E-1	-5.7637E+1	-6.0941E+1	-9.8518E+1	-9.7393E+1
2.5126E+1	-9.2943E+0	1.3966E+1	1.8651E-1	-5.7178E+1	-5.8072E+1	-9.8268E+1	-8.3292E+1
2.7131E+1	-9.2440E+0	1.2982E+1	1.5788E-1	-5.7441E+1	-6.1614E+1	-9.6779E+1	-9.7540E+1
2.9296E+1	-9.2133E+0	1.1974E+1	1.3820E-1	-5.7311E+1	-7.3167E+1	-8.4082E+1	-9.7998E+1
3.1634E+1	-9.1824E+0	1.1068E+1	1.3564E-1	-5.7359E+1	-8.8163E+1	-9.0350E+1	-9.3769E+1
3.4159E+1	-9.1573E+0	1.0218E+1	1.3546E-1	-5.7366E+1	-9.1656E+1	-9.9565E+1	-9.7584E+1
3.6884E+1	-9.1358E+0	9.4153E+0	1.3476E-1	-5.7437E+1	-8.0931E+1	-9.8332E+1	-8.4463E+1
3.9828E+1	-9.1175E+0	8.6622E+0	1.2442E-1	-5.8110E+1	-8.9248E+1	-9.4590E+1	-8.9753E+1
